contrast,Budget,Fold,Replica,n_instance_seed_pairs,median_delta,mean_delta
online_minus_scratch_g100,100,5,1,20,-0.06639640258423912,-0.060198884150633035
online_minus_scratch_g100,100,5,2,20,-0.03622247014621505,-0.031885306423610024
online_minus_scratch_g100,100,5,3,20,-0.05814094412956655,-0.04283696349767522
online_minus_scratch_g100,100,5,4,20,-0.06337525874151673,-0.06870178026770365
online_minus_ucb_g50,50,1,0,20,-0.06549592609790889,-0.05831488464300043
online_minus_ucb_g50,50,1,1,20,-0.034036829502028965,-0.03661144167830787
online_minus_ucb_g50,50,1,2,20,-0.04834883594418271,-0.034825176655176635
online_minus_ucb_g50,50,1,3,20,-0.03420510541241151,-0.031929683519564225
online_minus_ucb_g50,50,1,4,20,-0.04348619073613552,-0.047218083308727274
online_minus_ucb_g50,50,2,0,20,-0.057020637730806734,-0.055901491892143294
online_minus_ucb_g50,50,2,1,20,-0.05262126260696326,-0.043521652337629564
online_minus_ucb_g50,50,2,2,20,-0.03848912828323714,-0.05108599458609668
online_minus_ucb_g50,50,2,3,20,-0.06820443008734256,-0.05777973024345985
online_minus_ucb_g50,50,2,4,20,-0.04449537188465502,-0.04074079154281062
online_minus_ucb_g50,50,3,0,20,-0.06567226938039628,-0.06628841256052487
online_minus_ucb_g50,50,3,1,20,-0.013749029363373522,-0.03391842719628975
online_minus_ucb_g50,50,3,2,20,-0.028314322517686674,-0.026361309814403787
online_minus_ucb_g50,50,3,3,20,-0.05981105132619369,-0.0506794368261914
online_minus_ucb_g50,50,3,4,20,-0.05239453120630044,-0.046085561964664894
online_minus_ucb_g50,50,4,0,20,-0.04544405533364271,-0.04783004107765772
online_minus_ucb_g50,50,4,1,20,-0.04559293883547122,-0.04936049386980047
online_minus_ucb_g50,50,4,2,20,-0.06004724577891707,-0.06441109976400893
online_minus_ucb_g50,50,4,3,20,-0.014273876290920362,-0.014790695201531718
online_minus_ucb_g50,50,4,4,20,-0.07451966167885926,-0.06806111015884164
online_minus_ucb_g50,50,5,0,20,-0.05437326323614122,-0.051959229025665146
online_minus_ucb_g50,50,5,1,20,-0.049690866358993946,-0.03562548724820583
online_minus_ucb_g50,50,5,2,20,-0.033025481272834,-0.022173414258949826
online_minus_ucb_g50,50,5,3,20,-0.04404037710047415,-0.03651653915917485
online_minus_ucb_g50,50,5,4,20,-0.037809578031234636,-0.04010954827334555
online_minus_scratch_g50,50,1,0,20,-0.05552934864944514,-0.05912646125977626
online_minus_scratch_g50,50,1,1,20,-0.033048837708462564,-0.04319189778392637
