Fold,dataset,instance,Budget,contrast,front_extreme,absolute_change,comparator_extreme,relative_change_percent
1,Hurink_edata,la37.fjs,200,online_minus_scratch,best_workload_imbalance,1.4210854715202004e-13,213.9999999999993,6.640586315514977e-14
2,Brandimarte,Mk02.fjs,50,online_minus_scratch,best_workload_imbalance,0.4999999999999929,2.499999999999993,19.999999999999773
2,Brandimarte,Mk02.fjs,100,online_minus_scratch,best_workload_imbalance,-0.49999999999999467,2.4999999999999893,-19.999999999999872
2,Brandimarte,Mk02.fjs,200,online_minus_scratch,best_workload_imbalance,0.0,1.999999999999993,0.0
2,Brandimarte,Mk03.fjs,50,online_minus_scratch,best_workload_imbalance,-1.5,28.4999999999999,-5.26315789473686
2,Brandimarte,Mk03.fjs,100,online_minus_scratch,best_workload_imbalance,-1.9999999999999254,24.499999999999925,-8.16326530612217
2,Brandimarte,Mk03.fjs,200,online_minus_scratch,best_workload_imbalance,-1.4999999999999574,20.499999999999957,-7.317073170731515
2,Hurink_edata,la03.fjs,50,online_minus_scratch,best_workload_imbalance,-2.842170943040401e-14,86.99999999999977,-3.2668631529200095e-14
2,Hurink_edata,la03.fjs,100,online_minus_scratch,best_workload_imbalance,5.684341886080802e-14,86.99999999999972,6.533726305840023e-14
2,Hurink_edata,la03.fjs,200,online_minus_scratch,best_workload_imbalance,0.0,86.99999999999972,0.0
2,Hurink_edata,la07.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,21.99999999999966,0.0
2,Hurink_edata,la07.fjs,100,online_minus_scratch,best_workload_imbalance,5.684341886080802e-14,21.999999999999602,2.583791766400411e-13
2,Hurink_edata,la07.fjs,200,online_minus_scratch,best_workload_imbalance,0.0,21.99999999999966,0.0
2,Hurink_edata,la13.fjs,50,online_minus_scratch,best_workload_imbalance,-2.2737367544323206e-13,25.999999999999773,-8.74514136320131e-13
2,Hurink_edata,la13.fjs,100,online_minus_scratch,best_workload_imbalance,0.0,24.0,0.0
2,Hurink_edata,la13.fjs,200,online_minus_scratch,best_workload_imbalance,0.0,24.0,0.0
2,Hurink_edata,la19.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,173.99999999999943,0.0
2,Hurink_edata,la19.fjs,100,online_minus_scratch,best_workload_imbalance,-5.684341886080802e-14,173.99999999999937,-3.2668631529200126e-14
2,Hurink_edata,la19.fjs,200,online_minus_scratch,best_workload_imbalance,-5.684341886080802e-14,173.99999999999937,-3.2668631529200126e-14
2,Hurink_edata,la23.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,185.99999999999943,0.0
2,Hurink_edata,la23.fjs,100,online_minus_scratch,best_workload_imbalance,5.684341886080802e-14,185.99999999999937,3.056097788215495e-14
