experiment,dataset,instance,seed,budget,bc_samples,observed_actions,majority_action_share,normalized_label_entropy,bc_final_training_accuracy,bc_accuracy_minus_majority
E1,Hurink_edata,la01.fjs,43,100,70,10,0.11428571428571428,0.9982212903417764,0.2428571432828903,0.128571428997176
E1,Hurink_edata,la01.fjs,44,100,70,10,0.11428571428571428,0.9982212903417764,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la01.fjs,45,100,69,10,0.11594202898550725,0.9977680226318109,0.3188405930995941,0.20289856411408685
E1,Hurink_edata,la01.fjs,46,100,42,10,0.11904761904761904,0.9955027756105106,0.380952388048172,0.26190476900055293
E1,Hurink_edata,la01.fjs,48,100,53,10,0.1320754716981132,0.9923700186286072,0.3396226465702057,0.20754717487209248
E1,Hurink_edata,la01.fjs,47,100,67,10,0.11940298507462686,0.9960187214940208,0.2835820913314819,0.164179106256855
E1,Hurink_edata,la01.fjs,49,100,53,10,0.1320754716981132,0.9970420213773472,0.3584905564785003,0.2264150847803871
E1,Hurink_edata,la01.fjs,50,100,70,10,0.11428571428571428,0.9982212903417764,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la01.fjs,51,100,70,10,0.11428571428571428,0.9982212903417764,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la02.fjs,42,100,49,10,0.12244897959183673,0.9973524558512437,0.3877550959587097,0.26530611636687296
E1,Hurink_edata,la02.fjs,43,100,64,10,0.125,0.9954942307557538,0.265625,0.140625
E1,Hurink_edata,la02.fjs,44,100,44,10,0.11363636363636363,0.9973426792454723,0.3409090936183929,0.22727272998202924
E1,Hurink_edata,la02.fjs,45,100,34,10,0.11764705882352941,0.9955629627422163,0.3823529481887817,0.2647058893652523
E1,Hurink_edata,la02.fjs,46,100,70,10,0.11428571428571428,0.9982212903417764,0.2714285850524902,0.1571428707667759
E1,Hurink_edata,la02.fjs,47,100,63,10,0.12698412698412698,0.9955769178852866,0.2698412835597992,0.14285715657567222
E1,Hurink_edata,la02.fjs,48,100,61,10,0.13114754098360656,0.9937069853786515,0.3278688490390777,0.19672130805547114
E1,Hurink_edata,la02.fjs,50,100,43,10,0.11627906976744186,0.9976026457604416,0.3720930218696594,0.2558139521022176
E1,Hurink_edata,la02.fjs,49,100,66,10,0.12121212121212122,0.996745089708229,0.3030303120613098,0.1818181908491886
E1,Hurink_edata,la02.fjs,51,100,59,10,0.11864406779661017,0.9944807789116097,0.3898304998874664,0.2711864320908562
E1,Hurink_edata,la03.fjs,43,100,68,10,0.11764705882352941,0.9973939873903872,0.294117659330368,0.17647060050683858
E1,Hurink_edata,la03.fjs,42,100,51,10,0.11764705882352941,0.9975700756729121,0.3529411852359772,0.23529412641244776
E1,Hurink_edata,la03.fjs,44,100,42,10,0.11904761904761904,0.9981154864489722,0.4047619104385376,0.28571429139091853
E1,Hurink_edata,la03.fjs,45,100,70,10,0.11428571428571428,0.9982212903417766,0.342857152223587,0.2285714379378727
E1,Hurink_edata,la03.fjs,46,100,51,10,0.11764705882352941,0.9958554202953921,0.294117659330368,0.17647060050683858
E1,Hurink_edata,la03.fjs,47,100,56,10,0.125,0.9957186038832736,0.3214285671710968,0.1964285671710968
E1,Hurink_edata,la03.fjs,48,100,49,10,0.10204081632653061,0.9991370971625402,0.3877550959587097,0.2857142796321791
E1,Hurink_edata,la03.fjs,49,100,70,10,0.11428571428571428,0.9982212903417764,0.2714285850524902,0.1571428707667759
E1,Hurink_edata,la03.fjs,50,100,70,10,0.11428571428571428,0.9982212903417766,0.3285714387893677,0.2142857245036534
E1,Hurink_edata,la03.fjs,51,100,70,10,0.11428571428571428,0.9982212903417766,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la04.fjs,42,100,52,10,0.11538461538461539,0.9970790628213763,0.3076923191547394,0.192307703770124
E1,Hurink_edata,la04.fjs,43,100,70,10,0.11428571428571428,0.9982212903417766,0.2571428716182709,0.1428571573325566
E1,Hurink_edata,la04.fjs,44,100,42,10,0.11904761904761904,0.9981154864489722,0.3333333432674408,0.21428572421982175
E1,Hurink_edata,la04.fjs,48,100,36,10,0.1111111111111111,0.995888754975425,0.3611111044883728,0.2499999933772617
E1,Hurink_edata,la04.fjs,47,100,48,10,0.125,0.9966010805356295,0.3958333432674408,0.2708333432674408
E1,Hurink_edata,la04.fjs,49,100,43,10,0.11627906976744186,0.9976026457604416,0.3488371968269348,0.23255812705949297
E1,Hurink_edata,la04.fjs,46,100,54,10,0.12962962962962962,0.9968853998884466,0.3518518507480621,0.22222222111843246
E1,Hurink_edata,la04.fjs,45,100,63,10,0.1111111111111111,0.9965650899176329,0.3492063581943512,0.2380952470832401
E1,Hurink_edata,la04.fjs,50,100,53,10,0.1320754716981132,0.9953920699763373,0.3018867969512939,0.16981132525318068
E1,Hurink_edata,la04.fjs,51,100,44,10,0.11363636363636363,0.9973426792454723,0.3636363744735718,0.25000001083720813
E1,Hurink_edata,la05.fjs,42,100,42,10,0.11904761904761904,0.9981154864489722,0.4047619104385376,0.28571429139091853
E1,Hurink_edata,la05.fjs,43,100,70,10,0.11428571428571428,0.9982212903417766,0.2428571432828903,0.128571428997176
E1,Hurink_edata,la05.fjs,45,100,59,10,0.11864406779661017,0.995713343270528,0.3389830589294433,0.22033899113283312
E1,Hurink_edata,la05.fjs,47,100,41,10,0.12195121951219512,0.998905571122498,0.3902438879013061,0.268292668389111
E1,Hurink_edata,la05.fjs,44,100,40,10,0.1,0.9999999999999998,0.375,0.275
E1,Hurink_edata,la05.fjs,46,100,62,10,0.11290322580645161,0.9967775738052403,0.2741935551166534,0.16129032931020176
E1,Hurink_edata,la05.fjs,49,100,46,10,0.13043478260869565,0.99559462699502,0.4130434691905975,0.28260868658190186
E1,Hurink_edata,la05.fjs,50,100,70,10,0.11428571428571428,0.9982212903417764,0.2857142984867096,0.17142858420099533
E1,Hurink_edata,la05.fjs,48,100,63,10,0.12698412698412698,0.9955769178852868,0.3968254029750824,0.2698412759909554
E1,Hurink_edata,la05.fjs,51,100,30,10,0.1,0.9999999999999998,0.6000000238418579,0.5000000238418579
E1,Hurink_edata,la06.fjs,42,100,53,10,0.1320754716981132,0.9953920699763373,0.3018867969512939,0.16981132525318068
E1,Hurink_edata,la06.fjs,43,100,65,10,0.12307692307692308,0.9941731448174403,0.2769230902194977,0.1538461671425746
E1,Hurink_edata,la06.fjs,45,100,68,10,0.11764705882352941,0.9963245565495611,0.3088235259056091,0.19117646708207967
E1,Hurink_edata,la06.fjs,44,100,41,10,0.12195121951219512,0.9935527001363816,0.3414634168148041,0.21951219730260896
E1,Hurink_edata,la06.fjs,46,100,70,10,0.11428571428571428,0.9982212903417764,0.3142857253551483,0.20000001106943405
E1,Hurink_edata,la06.fjs,47,100,42,10,0.11904761904761904,0.9981154864489722,0.4047619104385376,0.28571429139091853
E1,Hurink_edata,la06.fjs,48,100,44,10,0.11363636363636363,0.997342679245472,0.3181818127632141,0.20454544912685046
E1,Hurink_edata,la06.fjs,49,100,70,10,0.12857142857142856,0.9965543773243416,0.3142857253551483,0.18571429678371976
E1,Hurink_edata,la06.fjs,50,100,54,10,0.12962962962962962,0.995266003143011,0.2777777910232544,0.14814816139362477
E1,Hurink_edata,la06.fjs,51,100,40,10,0.125,0.9972566536196154,0.4000000059604645,0.2750000059604645
E1,Hurink_edata,la07.fjs,42,100,63,10,0.12698412698412698,0.994422611580903,0.2857142984867096,0.15873017150258262
E1,Hurink_edata,la07.fjs,43,100,64,10,0.125,0.9966305010241318,0.296875,0.171875
E1,Hurink_edata,la07.fjs,44,100,44,10,0.11363636363636363,0.9973426792454723,0.3863636255264282,0.2727272618900646
E1,Hurink_edata,la07.fjs,45,100,60,10,0.13333333333333333,0.9914448541971304,0.2833333313465118,0.14999999801317845
E1,Hurink_edata,la07.fjs,47,100,40,10,0.1,0.9999999999999998,0.375,0.275
E1,Hurink_edata,la07.fjs,46,100,63,10,0.1111111111111111,0.9965650899176329,0.3650793731212616,0.2539682620101505
E1,Hurink_edata,la07.fjs,48,100,50,10,0.12,0.9982510515149292,0.4000000059604645,0.2800000059604645
